query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_product,n_review,oracle_cost,method
query_5_101.graph,2,0.5,249,1147.1999999999998,1162.482193211488,0.013321298127168953,209,29,238,Exact_structureO
query_5_101.graph,3,0.5,249,1147.1999999999998,1085.6059466666666,0.05369077173407711,206,32,238,Exact_structureO
query_5_101.graph,4,0.5,249,1147.1999999999998,1244.9057500000001,0.08516888947001423,204,38,242,Exact_structureO
query_5_101.graph,5,0.5,249,1147.1999999999998,1133.6440173410404,0.011816581815689913,204,33,237,Exact_structureO
query_5_101.graph,1,0.6,298,1147.1999999999998,1355.4753290870487,0.1815510190786689,235,40,275,Exact_structureO
query_5_101.graph,2,0.6,298,1147.1999999999998,1219.5667578947366,0.06308120458048884,239,38,277,Exact_structureO
query_5_101.graph,3,0.6,298,1147.1999999999998,1267.4935555555555,0.1048583991941734,235,39,274,Exact_structureO
query_5_101.graph,4,0.6,298,1147.1999999999998,1394.7334869739477,0.21577186800379006,236,47,283,Exact_structureO
query_5_101.graph,5,0.6,298,1147.1999999999998,1109.4736842105258,0.03288556118329326,240,39,279,Exact_structureO
query_5_101.graph,1,0.7,348,1147.1999999999998,1374.3363875205252,0.197991969595995,264,48,312,Exact_structureO
query_5_101.graph,2,0.7,348,1147.1999999999998,1262.1778119935173,0.1002247315145724,268,44,312,Exact_structureO
query_5_101.graph,3,0.7,348,1147.1999999999998,1220.0592868462754,0.06351053595386648,265,45,310,Exact_structureO
query_5_101.graph,4,0.7,348,1147.1999999999998,1486.238351477449,0.2955355225570513,270,51,321,Exact_structureO
query_5_101.graph,5,0.7,348,1147.1999999999998,1058.596884735202,0.07723423576080711,272,47,319,Exact_structureO
query_5_101.graph,1,0.8,398,1147.1999999999998,1271.5362079207919,0.10838232908018834,301,53,354,Exact_structureO
query_5_101.graph,2,0.8,398,1147.1999999999998,1215.2531001206276,0.05932104264350396,296,52,348,Exact_structureO
query_5_101.graph,3,0.8,398,1147.1999999999998,1171.4837999999997,0.021167887029288644,295,56,351,Exact_structureO
query_5_101.graph,4,0.8,398,1147.1999999999998,1410.9661231884058,0.22992165549895927,297,56,353,Exact_structureO
query_5_101.graph,5,0.8,398,1147.1999999999998,1088.1495999999995,0.05147350069735035,300,50,350,Exact_structureO
query_5_101.graph,1,0.9,448,1147.1999999999998,1252.5160812772133,0.0918027207786031,326,58,384,Exact_structureO
query_5_101.graph,2,0.9,448,1147.1999999999998,1143.883236677116,0.002891181418134453,324,58,382,Exact_structureO
query_5_101.graph,3,0.9,448,1147.1999999999998,1139.7747604562735,0.006472489142020852,324,59,383,Exact_structureO
query_5_101.graph,4,0.9,448,1147.1999999999998,1321.8588531711557,0.1522479542984274,324,61,385,Exact_structureO
query_5_101.graph,5,0.9,448,1147.1999999999998,1135.6638523274476,0.010055916729909574,326,59,385,Exact_structureO
query_5_37.graph,1,0.01,4,866.3299999999997,0.0,1.0,4,0,4,Exact_structureO
query_5_37.graph,2,0.01,4,866.3299999999997,0.0,1.0,4,0,4,Exact_structureO
query_5_37.graph,3,0.01,4,866.3299999999997,0.0,1.0,5,0,5,Exact_structureO
query_5_37.graph,4,0.01,4,866.3299999999997,0.0,1.0,4,0,4,Exact_structureO
query_5_37.graph,5,0.01,4,866.3299999999997,0.0,1.0,4,0,4,Exact_structureO
query_5_37.graph,1,0.05,23,866.3299999999997,209.2569230769231,0.7584558735390403,24,1,25,Exact_structureO
query_5_37.graph,2,0.05,23,866.3299999999997,375.5111111111112,0.5665495698970239,26,1,27,Exact_structureO
query_5_37.graph,3,0.05,23,866.3299999999997,0.0,1.0,26,0,26,Exact_structureO
query_5_37.graph,4,0.05,23,866.3299999999997,0.0,1.0,24,2,26,Exact_structureO
query_5_37.graph,5,0.05,23,866.3299999999997,0.0,1.0,26,0,26,Exact_structureO
query_5_37.graph,1,0.075,35,866.3299999999997,129.54000000000002,0.850472683619406,39,1,40,Exact_structureO
query_5_37.graph,2,0.075,35,866.3299999999997,266.8105263157895,0.6920220628215696,37,1,38,Exact_structureO
query_5_37.graph,3,0.075,35,866.3299999999997,1227.6156097560975,0.4170300113768401,37,2,39,Exact_structureO
query_5_37.graph,4,0.075,35,866.3299999999997,0.0,1.0,37,2,39,Exact_structureO
query_5_37.graph,5,0.075,35,866.3299999999997,188.20307692307694,0.782758213471683,36,1,37,Exact_structureO
query_5_37.graph,1,0.1,46,866.3299999999997,106.68,0.8768598570983342,47,1,48,Exact_structureO
query_5_37.graph,2,0.1,46,866.3299999999997,1082.6571428571428,0.2497052426409604,47,4,51,Exact_structureO
query_5_37.graph,3,0.1,46,866.3299999999997,1206.5718518518518,0.3927393162557596,47,3,50,Exact_structureO
query_5_37.graph,4,0.1,46,866.3299999999997,499.70480000000003,0.4231934713100087,47,5,52,Exact_structureO
query_5_37.graph,5,0.1,46,866.3299999999997,224.77777777777777,0.7405402355017396,48,2,50,Exact_structureO
query_5_37.graph,1,0.125,58,866.3299999999997,82.43454545454546,0.9048462532123491,57,1,58,Exact_structureO
query_5_37.graph,2,0.125,58,866.3299999999997,1444.1,0.666916763819792,59,7,66,Exact_structureO
query_5_37.graph,3,0.125,58,866.3299999999997,930.784,0.07439890111158602,57,3,60,Exact_structureO
query_5_37.graph,4,0.125,58,866.3299999999997,538.7526666666666,0.37812073151493447,55,6,61,Exact_structureO
query_5_37.graph,5,0.125,58,866.3299999999997,289.4364179104478,0.6659051193997116,58,3,61,Exact_structureO
query_5_37.graph,1,0.15,70,866.3299999999997,161.77974683544304,0.8132585194608948,67,2,69,Exact_structureO
query_5_37.graph,2,0.15,70,866.3299999999997,1758.1873417721517,1.0294660715572037,68,8,76,Exact_structureO
query_5_37.graph,3,0.15,70,866.3299999999997,794.5717073170731,0.08283020636815834,65,4,69,Exact_structureO
query_5_37.graph,4,0.15,70,866.3299999999997,475.37,0.4512829983955304,62,6,68,Exact_structureO
query_5_37.graph,5,0.15,70,866.3299999999997,251.84727272727275,0.7092940649322166,65,3,68,Exact_structureO
query_5_37.graph,1,0.2,93,866.3299999999997,391.2370642201835,0.5483971878843124,89,4,93,Exact_structureO
query_5_37.graph,2,0.2,93,866.3299999999997,1934.1142857142856,1.2325375846551387,83,11,94,Exact_structureO
