query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,Cost,Trials
query_cycle_6_112.graph,WJ_importance_multi,3999965.0,2109680.9043801418,-0.47257515893760527,0.47257515893760527,0.11,1001,500
query_cycle_6_113.graph,WJ_uniform_multi,561906.0,4618.72824,-0.991780247514709,0.991780247514709,0.00024,861,50000
query_cycle_6_113.graph,WJ_importance_multi,561906.0,112241.10182535269,-0.8002493267106016,0.8002493267106016,0.00038,912,50000
query_cycle_6_116.graph,WJ_uniform_multi,380975.0,288408.376583661,-0.2429729599483929,0.2429729599483929,0.001310615989515072,1002,16023
query_cycle_6_116.graph,WJ_importance_multi,380975.0,378253.4382320037,-0.007143675485258321,0.007143675485258321,0.0013754257270107413,1000,15268
query_cycle_6_118.graph,WJ_uniform_multi,380975.0,8925.498559832417,-0.9765719573204741,0.9765719573204741,0.0013092432573972245,1001,15276
query_cycle_6_118.graph,WJ_importance_multi,380975.0,10549534.454689315,26.690883797333985,26.690883797333985,0.0020805369127516776,1001,14900
query_cycle_6_119.graph,WJ_uniform_multi,702727.0,218314.77192982455,-0.6893320280424339,0.6893320280424339,0.0167973124300112,1002,2679
query_cycle_6_119.graph,WJ_importance_multi,702727.0,90827.97115171411,-0.8707492793763238,0.8707492793763238,0.017864231838030965,1001,2519
query_cycle_6_120.graph,WJ_uniform_multi,236262.0,103562.23404010141,-0.5616636021023211,0.5616636021023211,0.0020742106476146576,1001,17356
query_cycle_6_120.graph,WJ_importance_multi,236262.0,339389.01184384874,0.436494281111007,0.436494281111007,0.0027191206248192074,1001,17285
query_cycle_6_121.graph,WJ_uniform_multi,71286.0,884992.3571845605,11.414672687267633,11.414672687267633,0.002530003243593902,1000,15415
query_cycle_6_121.graph,WJ_importance_multi,71286.0,105599.14489137093,0.4813447926853931,0.4813447926853931,0.0025650233417124097,1002,19493
query_cycle_6_122.graph,WJ_uniform_multi,1643774.0,265706.09990791895,-0.8383560636024667,0.8383560636024667,0.0050644567219152855,1000,4344
query_cycle_6_122.graph,WJ_importance_multi,1643774.0,229192.7772858277,-0.860569167485416,0.860569167485416,0.005523731587561375,1000,4888
query_cycle_6_123.graph,WJ_uniform_multi,380975.0,335042.1834237685,-0.12056648487756809,0.12056648487756809,0.0012235344185551654,1003,18798
query_cycle_6_123.graph,WJ_importance_multi,380975.0,251061.98763086594,-0.34100141051022786,0.34100141051022786,0.0013684210526315789,1001,19000
query_cycle_6_124.graph,WJ_uniform_multi,1657561.0,844520.918135716,-0.4905038679507324,0.4905038679507324,0.0026563631972953395,1000,4141
query_cycle_6_124.graph,WJ_importance_multi,1657561.0,324004.98961349897,-0.8045290703548774,0.8045290703548774,0.0058679706601467,1001,4090
query_cycle_6_125.graph,WJ_uniform_multi,3999965.0,53943111.37552743,12.485895845470505,12.485895845470505,0.06329113924050633,1001,474
query_cycle_6_125.graph,WJ_importance_multi,3999965.0,4203256.888977576,0.05082341694929232,0.05082341694929232,0.08928571428571429,1000,504
query_cycle_6_126.graph,WJ_uniform_multi,380975.0,186848.22575736616,-0.5095525277055813,0.5095525277055813,0.001936644072485821,1002,14458
query_cycle_6_126.graph,WJ_importance_multi,380975.0,211834.33115959348,-0.44396789511229484,0.44396789511229484,0.0015625,1001,16000
query_cycle_6_127.graph,WJ_uniform_multi,483.0,475.433,-0.015666666666666683,0.015666666666666683,0.0004,366,50000
query_cycle_6_127.graph,WJ_importance_multi,483.0,1055.5249767832559,1.1853519188059127,1.1853519188059127,0.0003,443,50000
query_cycle_6_128.graph,WJ_uniform_multi,3999965.0,34633357.39805825,7.65841511064678,7.65841511064678,0.05631067961165048,1001,515
query_cycle_6_128.graph,WJ_importance_multi,3999965.0,20952964.45904313,4.238286949771593,4.238286949771593,0.087890625,1002,512
query_cycle_6_129.graph,WJ_uniform_multi,1509704.0,709806.6189833558,-0.5298372270436087,0.5298372270436087,0.0038236617183985606,1002,4446
query_cycle_6_129.graph,WJ_importance_multi,1509704.0,475331.15721323236,-0.685149435112292,0.685149435112292,0.00942095588235294,1003,4352
query_cycle_6_130.graph,WJ_uniform_multi,31196.0,7269.762315270936,-0.7669649212953285,0.7669649212953285,0.003254750175932442,1002,11368
query_cycle_6_130.graph,WJ_importance_multi,31196.0,11722.98456683573,-0.6242151376190623,0.6242151376190623,0.0030858906223212757,1001,11666
query_cycle_6_132.graph,WJ_uniform_multi,48378.0,11722.191884398891,-0.7576958145355557,0.7576958145355557,0.005124758464252709,1002,11903
query_cycle_6_132.graph,WJ_importance_multi,48378.0,138103.11130554168,1.8546676444983603,1.8546676444983603,0.005772005772005772,1000,11781
query_cycle_6_133.graph,WJ_uniform_multi,1643774.0,128348.62198391421,-0.9219183281984542,0.9219183281984542,0.003485254691689008,1002,3730
query_cycle_6_133.graph,WJ_importance_multi,1643774.0,2178720.2042084686,0.3254378060539153,0.3254378060539153,0.0050661412890515055,1001,3553
query_cycle_6_135.graph,WJ_uniform_multi,1657561.0,1164644.1824686942,-0.29737476782532035,0.29737476782532035,0.005111167901865576,1000,3913
query_cycle_6_135.graph,WJ_importance_multi,1657561.0,9776736.402337084,4.898266430217098,4.898266430217098,0.005898255099533055,1003,4069
query_cycle_6_136.graph,WJ_uniform_multi,482985.0,91701.0083234245,-0.8101369435418813,0.8101369435418813,0.0008493290300662477,1001,17661
query_cycle_6_136.graph,WJ_importance_multi,482985.0,241064.69178510839,-0.5008857588018087,0.5008857588018087,0.001604308714834126,1000,17453
query_cycle_6_138.graph,WJ_uniform_multi,81954.0,56288.16564417178,-0.31317366273553726,0.31317366273553726,0.003140520011685656,1001,13692
query_cycle_6_138.graph,WJ_importance_multi,81954.0,85424.97271021249,0.04235269431891658,0.04235269431891658,0.004250876277127303,1002,13409
query_cycle_6_140.graph,WJ_uniform_multi,236262.0,129002.52149346333,-0.4539853150592845,0.4539853150592845,0.0022712164857079547,1002,18052
query_cycle_6_140.graph,WJ_importance_multi,236262.0,833679.0728201047,2.5286210766864947,2.5286210766864947,0.0021767297227260948,1001,19295
query_cycle_6_142.graph,WJ_uniform_multi,702727.0,2530940.020460358,2.601597804638726,2.601597804638726,0.014249177932042383,1000,2737
query_cycle_6_142.graph,WJ_importance_multi,702727.0,4732460.413203468,5.7344223478014476,5.7344223478014476,0.019461077844311378,1000,2672
query_cycle_6_143.graph,WJ_uniform_multi,373882.0,226564.21276595743,-0.3940221439760207,0.3940221439760207,0.0011309818336042977,1003,14147
query_cycle_6_143.graph,WJ_importance_multi,373882.0,649100.0346823678,0.7361093464846337,0.7361093464846337,0.0014649190439475714,1003,12970
query_cycle_6_145.graph,WJ_uniform_multi,1643774.0,323915.50112612615,-0.8029440171665168,0.8029440171665168,0.0045045045045045045,1003,3552
query_cycle_6_145.graph,WJ_importance_multi,1643774.0,2034813.9010690935,0.23789152345096923,0.23789152345096923,0.005782017924255565,1003,3459
