query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,n_post
query_path_6_10.graph,Importance (Post),557230.0,101056.29812206296,-0.8186452665469143,0.8186452665469143,0.003,29
query_path_6_12.graph,Uniform,5454872.0,10532804.695,0.9308985976206225,0.9308985976206225,0.086,1164
query_path_6_12.graph,Importance (Post),5454872.0,8416448.113399286,0.5429231177925505,0.5429231177925505,0.142,1131
query_path_6_2.graph,Uniform,2399067.0,14438962.223,5.018573980218143,5.018573980218143,0.009,127
query_path_6_2.graph,Importance (Post),2399067.0,2211148.9415334994,-0.0783296416759101,0.0783296416759101,0.023,119
query_path_6_3.graph,Uniform,116775.0,18810.61,-0.8389157782059516,0.8389157782059516,0.002,41
query_path_6_3.graph,Importance (Post),116775.0,77578.90304657057,-0.33565486579686943,0.33565486579686943,0.008,52
query_path_6_6.graph,Uniform,5454872.0,10274768.602,0.8835948124905589,0.8835948124905589,0.1065,1147
query_path_6_6.graph,Importance (Post),5454872.0,3685064.3450702215,-0.3244453132777045,0.3244453132777045,0.138,1141
query_path_6_7.graph,Uniform,276665.0,6697.404,-0.9757923698335533,0.9757923698335533,0.002,57
query_path_6_7.graph,Importance (Post),276665.0,57498.125177051326,-0.792174199204629,0.792174199204629,0.0075,59
query_path_8_2.graph,Uniform,306497.0,0.0,-1.0,1.0,0.0,14
query_path_8_2.graph,Importance (Post),306497.0,4043.684049388342,-0.9868067744565581,0.9868067744565581,0.002,23
query_path_8_3.graph,Uniform,634306.0,14602903.924,22.021859991865124,22.021859991865124,0.003,42
query_path_8_3.graph,Importance (Post),634306.0,339168.4824566127,-0.46529201606698867,0.46529201606698867,0.002,44
query_path_8_8.graph,Uniform,1237604.0,1134197.099,-0.08355411020003173,0.08355411020003173,0.0155,184
query_path_8_8.graph,Importance (Post),1237604.0,293128.62164654006,-0.7631482916615169,0.7631482916615169,0.021,182
query_star_4_1.graph,Uniform,4396.0,2914.611,-0.33698566878980896,0.33698566878980896,0.0155,238
query_star_4_1.graph,Importance (Post),4396.0,3314.1919576995033,-0.24608918159701926,0.24608918159701926,0.027,244
query_star_4_2.graph,Uniform,4396.0,8309.742,0.8902961783439491,0.8902961783439491,0.0185,224
query_star_4_2.graph,Importance (Post),4396.0,4061.637861355838,-0.07606054109284846,0.07606054109284846,0.032,244
query_star_4_3.graph,Uniform,4396.0,3038.637,-0.3087722929936305,0.3087722929936305,0.015,243
query_star_4_3.graph,Importance (Post),4396.0,3794.248955532754,-0.13688604287244,0.13688604287244,0.03,249
query_star_6_5.graph,Uniform,2286698.0,4944089.78,1.162108761191902,1.162108761191902,0.0085,122
query_star_6_5.graph,Importance (Post),2286698.0,979347.1547309909,-0.5717199408356543,0.5717199408356543,0.0265,150
query_tree_4_0.graph,Uniform,491800.0,548670.353,0.11563715534770233,0.11563715534770233,0.1345,1459
query_tree_4_0.graph,Importance (Post),491800.0,472805.93453966227,-0.038621523912846144,0.038621523912846144,0.213,1479
query_tree_4_1.graph,Uniform,4396.0,8702.491,0.9796385350318472,0.9796385350318472,0.0185,265
query_tree_4_1.graph,Importance (Post),4396.0,6355.919327395617,0.4458415212455908,0.4458415212455908,0.029,251
query_tree_4_2.graph,Uniform,491800.0,525663.53,0.06885630337535589,0.06885630337535589,0.1345,1501
query_tree_4_2.graph,Importance (Post),491800.0,436453.4625112294,-0.1125387098185657,0.1125387098185657,0.1955,1503
query_tree_4_3.graph,Uniform,370871.0,289290.645,-0.21996962555713437,0.21996962555713437,0.1205,1428
query_tree_4_3.graph,Importance (Post),370871.0,383639.87844465877,0.03442943353526905,0.03442943353526905,0.2185,1453
query_tree_6_7.graph,Uniform,44732.0,1653.68,-0.963031386926585,0.963031386926585,0.0005,31
query_tree_6_7.graph,Importance (Post),44732.0,1789.0837119870903,-0.9600043880893523,0.9600043880893523,0.004,33
