query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,n_post
query_cycle_6_65.graph,Uniform,122652.0,110416.2136,-0.09976018654404328,0.09976018654404328,0.0067,841
query_cycle_6_65.graph,Importance (Post),122652.0,62352.5845723281,-0.49163010328141327,0.49163010328141327,0.0129,763
query_cycle_6_66.graph,Uniform,532012.0,208791.5697,-0.6075434958234025,0.6075434958234025,0.00245,339
query_cycle_6_66.graph,Importance (Post),532012.0,288713.98370869434,-0.4573167828757728,0.4573167828757728,0.00505,317
query_cycle_6_68.graph,Uniform,5454872.0,3045336.4711,-0.4417217358904113,0.4417217358904113,0.0435,4007
query_cycle_6_68.graph,Importance (Post),5454872.0,4308035.590275144,-0.21024075536966877,0.21024075536966877,0.09245,3575
query_cycle_6_72.graph,Uniform,4902.0,6703.6053,0.367524541003672,0.367524541003672,0.0014,246
query_cycle_6_72.graph,Importance (Post),4902.0,1863.4573603326407,-0.6198577396302243,0.6198577396302243,0.0021,222
query_cycle_6_73.graph,Uniform,1096.0,1161.7102,0.05995456204379561,0.05995456204379561,0.00025,52
query_cycle_6_73.graph,Importance (Post),1096.0,196.42292267081277,-0.820782004862397,0.820782004862397,0.0004,32
query_cycle_6_76.graph,Uniform,5454872.0,9700331.8475,0.7782877118839819,0.7782877118839819,0.0588,4993
query_cycle_6_76.graph,Importance (Post),5454872.0,2749139.9532273714,-0.49602118010699947,0.49602118010699947,0.1214,4435
query_cycle_6_82.graph,Uniform,44732.0,16011.7566,-0.6420514039166592,0.6420514039166592,0.0026,364
query_cycle_6_82.graph,Importance (Post),44732.0,83332.99501399527,0.8629391713760903,0.8629391713760903,0.00435,373
query_cycle_6_87.graph,Uniform,5454872.0,7254929.8094,0.3299908429382027,0.3299908429382027,0.04615,3948
query_cycle_6_87.graph,Importance (Post),5454872.0,6010157.975308777,0.10179633459937773,0.10179633459937773,0.0958,3646
query_cycle_6_88.graph,Uniform,2802.0,409.2858,-0.853930835117773,0.853930835117773,0.00025,59
query_cycle_6_88.graph,Importance (Post),2802.0,384.6474262869983,-0.8627239734878664,0.8627239734878664,0.00055,55
query_cycle_6_89.graph,Uniform,4902.0,2736.8404,-0.4416890248878009,0.4416890248878009,0.0013,163
query_cycle_6_89.graph,Importance (Post),4902.0,3088.1247779070018,-0.37002758508629097,0.37002758508629097,0.0012,146
query_cycle_6_92.graph,Uniform,5454872.0,3152536.2771,-0.42206961463073744,0.42206961463073744,0.0951,6745
query_cycle_6_92.graph,Importance (Post),5454872.0,5981559.375391865,0.09655357181467597,0.09655357181467597,0.1455,6451
query_cycle_6_96.graph,Uniform,44732.0,17318.1638,-0.6128461995886614,0.6128461995886614,0.00275,353
query_cycle_6_96.graph,Importance (Post),44732.0,23804.37695290281,-0.46784456422912435,0.46784456422912435,0.004,297
query_cycle_8_222.graph,Uniform,2532424.0,369738.0428,-0.8539983656765218,0.8539983656765218,0.0007,108
query_cycle_8_222.graph,Importance (Post),2532424.0,351036.97719830315,-0.8613830159569238,0.8613830159569238,0.0014,95
query_cycle_8_223.graph,Uniform,30140.0,132.2944,-0.9956106702057067,0.9956106702057067,0.0002,6
query_cycle_8_223.graph,Importance (Post),30140.0,41.342,-0.9986283344392833,0.9986283344392833,5e-05,6
query_cycle_8_225.graph,Uniform,2517349.0,8038625.2982,2.1932899642441313,2.1932899642441313,0.0012,160
query_cycle_8_225.graph,Importance (Post),2517349.0,294411.48275008844,-0.8830470138427018,0.8830470138427018,0.00285,127
query_cycle_8_232.graph,Uniform,138802.0,0.0,-1.0,1.0,0.0,14
query_cycle_8_232.graph,Importance (Post),138802.0,9062.257807344506,-0.9347108989254873,0.9347108989254873,0.00025,17
query_cycle_8_249.graph,Uniform,634306.0,539165.8272,-0.14999097091939842,0.14999097091939842,0.00015,44
query_cycle_8_249.graph,Importance (Post),634306.0,124415.0358833672,-0.8038564417120961,0.8038564417120961,0.00055,51
query_cycle_8_250.graph,Uniform,634306.0,69504.1704,-0.8904248574032093,0.8904248574032093,0.00025,44
query_cycle_8_250.graph,Importance (Post),634306.0,1290755.1464439847,1.0349092495483012,1.0349092495483012,0.00065,58
query_cycle_8_251.graph,Uniform,2416537.0,1402773.3349,-0.4195109220756811,0.4195109220756811,0.00095,142
query_cycle_8_251.graph,Importance (Post),2416537.0,2329527.029526905,-0.03600605762423453,0.03600605762423453,0.0027,142
query_cycle_8_254.graph,Uniform,450134.0,72486.9957,-0.8389657397574946,0.8389657397574946,0.00105,143
query_cycle_8_254.graph,Importance (Post),450134.0,1042458.2396089413,1.315884246933005,1.315884246933005,0.00275,153
query_cycle_8_261.graph,Uniform,375112.0,32275.6994,-0.9139571663929706,0.9139571663929706,0.00135,202
query_cycle_8_261.graph,Importance (Post),375112.0,284526.8501204161,-0.24148827518070312,0.24148827518070312,0.0035,178
query_cycle_8_262.graph,Uniform,1157959.0,843992.7958,-0.2711375827641566,0.2711375827641566,0.00135,213
query_cycle_8_262.graph,Importance (Post),1157959.0,255025.79513937506,-0.7797626728240162,0.7797626728240162,0.0043,221
query_cycle_8_264.graph,Uniform,634306.0,148918.0182,-0.7652268491863549,0.7652268491863549,0.0003,49
query_cycle_8_264.graph,Importance (Post),634306.0,327716.80713608244,-0.48334588174149,0.48334588174149,0.00075,50
query_cycle_8_265.graph,Uniform,2416537.0,125022.3422,-0.9482638411081643,0.9482638411081643,0.0013,193
query_cycle_8_265.graph,Importance (Post),2416537.0,373690.7826915751,-0.8453610341196617,0.8453610341196617,0.00495,197
query_cycle_8_268.graph,Uniform,405896.0,167381.3554,-0.5876250187240081,0.5876250187240081,0.0018,194
query_cycle_8_268.graph,Importance (Post),405896.0,495536.02074104594,0.22084479950786887,0.22084479950786887,0.0022,187
query_cycle_8_270.graph,Uniform,621940.0,6742.8802,-0.9891583107695275,0.9891583107695275,0.00025,18
query_cycle_8_270.graph,Importance (Post),621940.0,346474.2343233067,-0.4429137307082569,0.4429137307082569,0.00035,28
query_cycle_8_274.graph,Uniform,946374.0,141670.7656,-0.8503015027885381,0.8503015027885381,0.0013,200
query_cycle_8_274.graph,Importance (Post),946374.0,1252376.2497304527,0.3233417757994753,0.3233417757994753,0.003,191
query_cycle_8_281.graph,Uniform,563140.0,63300.8033,-0.8875931326135597,0.8875931326135597,0.00065,120
query_cycle_8_281.graph,Importance (Post),563140.0,287733.5422184831,-0.48905504453868825,0.48905504453868825,0.00235,139
query_cycle_8_292.graph,Uniform,71096.0,81879.8981,0.15168079920108032,0.15168079920108032,0.00065,102
query_cycle_8_292.graph,Importance (Post),71096.0,42840.95633163515,-0.397421003549635,0.397421003549635,0.00085,71
query_cycle_8_302.graph,Uniform,2416537.0,101296.1684,-0.9580820949979247,0.9580820949979247,0.0008,204
query_cycle_8_302.graph,Importance (Post),2416537.0,698322.0335182337,-0.7110236534684825,0.7110236534684825,0.00395,192
query_cycle_8_304.graph,Uniform,34491.0,85267.875,1.4721775245716273,1.4721775245716273,0.0005,49
query_cycle_8_304.graph,Importance (Post),34491.0,51182.82721270358,0.4839473257575478,0.4839473257575478,0.00105,48
query_cycle_8_309.graph,Uniform,671120.0,36430.5704,-0.9457167564668019,0.9457167564668019,0.00045,52
query_cycle_8_309.graph,Importance (Post),671120.0,9721.975278608199,-0.9855138048655857,0.9855138048655857,0.001,56
query_cycle_8_314.graph,Uniform,5151072.0,426787.9357,-0.9171458027183468,0.9171458027183468,0.0008,160
query_cycle_8_314.graph,Importance (Post),5151072.0,285721.9434455982,-0.9445315570340314,0.9445315570340314,0.0021,138
query_cycle_8_316.graph,Uniform,946374.0,286371.8998,-0.6974009220456183,0.6974009220456183,0.00175,217
query_cycle_8_316.graph,Importance (Post),946374.0,202982.3845076472,-0.7855156793110892,0.7855156793110892,0.0027,222
query_cycle_8_318.graph,Uniform,2416537.0,184860.753,-0.9235017907857401,0.9235017907857401,0.0012,204
query_cycle_8_318.graph,Importance (Post),2416537.0,1850498.3276462078,-0.2342354668493767,0.2342354668493767,0.00395,187
query_cycle_8_326.graph,Uniform,1237604.0,4041027.5346,2.265202386708511,2.265202386708511,0.0055,694
query_cycle_8_326.graph,Importance (Post),1237604.0,1858243.515131051,0.5014847359341525,0.5014847359341525,0.01225,688
