query_index,query_basename,gt_match_col,T_true,method,T_hat,Qerror,n_post,n_comment
24,query_cycle_6_121.graph,u2,116775.0,POSS,114483.20188291263,0.019625759940803837,600,0
25,query_cycle_6_122.graph,u1,2573014.0,UN,1516712.3182591093,0.41053087225366464,247,0
25,query_cycle_6_122.graph,u1,2573014.0,PO,2673198.384484752,0.03893658739701847,247,0
25,query_cycle_6_122.graph,u1,2573014.0,MAB,2501632.794995322,0.02774225286169376,146,0
25,query_cycle_6_122.graph,u1,2573014.0,FOIS_nrs,2679915.2799906963,0.04154710389865595,247,0
25,query_cycle_6_122.graph,u1,2573014.0,FOIS_rs,2763213.2908495776,0.07392081459703587,247,0
25,query_cycle_6_122.graph,u1,2573014.0,POSS,2802328.9473528625,0.08912308574802254,443,0
26,query_cycle_6_123.graph,u1,626370.0,UN,1320360.2022857144,1.10795568479607,154,0
26,query_cycle_6_123.graph,u1,626370.0,PO,507680.0882541615,0.18948850000133863,154,0
26,query_cycle_6_123.graph,u1,626370.0,MAB,694538.3277765197,0.10883076740029009,89,0
26,query_cycle_6_123.graph,u1,626370.0,FOIS_nrs,612372.2176106432,0.02234746617711058,154,0
26,query_cycle_6_123.graph,u1,626370.0,FOIS_rs,490423.22582063713,0.21703908900388408,154,0
26,query_cycle_6_123.graph,u1,626370.0,POSS,598670.7384299274,0.044221884142076756,275,0
27,query_cycle_6_124.graph,u1,2399067.0,UN,3267759.9522766573,0.36209616166478775,347,0
27,query_cycle_6_124.graph,u1,2399067.0,PO,1887364.7379216491,0.2132921932060884,347,0
27,query_cycle_6_124.graph,u1,2399067.0,MAB,2218676.7747958596,0.07519182465689388,187,0
27,query_cycle_6_124.graph,u1,2399067.0,FOIS_nrs,2283617.296565555,0.04812275081706554,347,0
27,query_cycle_6_124.graph,u1,2399067.0,FOIS_rs,2589256.6846738895,0.0792765206948741,347,0
27,query_cycle_6_124.graph,u1,2399067.0,POSS,2410858.6080186507,0.004915080745410892,600,0
228,query_cycle_6_127.graph,u2,1163.0,baseline_uniform,2401.439702413793,1.0648664681116018,203,0
228,query_cycle_6_127.graph,u2,1163.0,baseline_proxy,909.9830594120128,0.21755540893206118,203,0
228,query_cycle_6_127.graph,u2,1163.0,baseline_proxy_a,1042.0331923541253,0.1040127322836412,203,0
228,query_cycle_6_127.graph,u2,1163.0,baseline_proxy_a_unbiased_test1,1327.7939292095746,0.14169727361098416,203,0
228,query_cycle_6_127.graph,u2,1163.0,proxy_mab,1098.3949533103569,0.05555034109169659,132,0
228,query_cycle_6_127.graph,u2,1163.0,proxyE_importance,1046.7486127858115,0.09995820052810707,206,0
28,query_cycle_6_125.graph,u2,5454872.0,UN,4859861.135333333,0.10907879500502796,315,0
28,query_cycle_6_125.graph,u2,5454872.0,PO,4885263.507677554,0.10442197219704621,315,0
28,query_cycle_6_125.graph,u2,5454872.0,MAB,5210924.956313426,0.044720947381822036,180,0
28,query_cycle_6_125.graph,u2,5454872.0,FOIS_nrs,5740526.078222347,0.052366779316241965,315,0
28,query_cycle_6_125.graph,u2,5454872.0,FOIS_rs,5486390.746506338,0.00577809094445076,315,0
28,query_cycle_6_125.graph,u2,5454872.0,POSS,4755963.4730736315,0.12812555948633964,561,0
29,query_cycle_6_126.graph,u1,626370.0,UN,679212.4210322581,0.08436295006507029,155,0
29,query_cycle_6_126.graph,u1,626370.0,PO,512722.7760712252,0.18143784652645373,155,0
29,query_cycle_6_126.graph,u1,626370.0,MAB,24187.24374482817,0.9613850539699728,94,0
29,query_cycle_6_126.graph,u1,626370.0,FOIS_nrs,616520.7502838281,0.015724331810546287,155,0
29,query_cycle_6_126.graph,u1,626370.0,FOIS_rs,655015.8863775104,0.0457331710929808,155,0
29,query_cycle_6_126.graph,u1,626370.0,POSS,657747.41103948,0.05009405150227503,279,0
30,query_cycle_6_127.graph,u2,1163.0,UN,881.6059562745099,0.2419553256453053,204,0
30,query_cycle_6_127.graph,u2,1163.0,PO,863.9681627314021,0.2571210982533086,204,0
30,query_cycle_6_127.graph,u2,1163.0,MAB,956.518402743817,0.17754221604142995,133,0
30,query_cycle_6_127.graph,u2,1163.0,FOIS_nrs,1162.5589789068438,0.00037920988233553166,204,0
30,query_cycle_6_127.graph,u2,1163.0,FOIS_rs,1598.947012853638,0.37484695860158035,204,0
30,query_cycle_6_127.graph,u2,1163.0,POSS,1128.0150796513158,0.030081616808842842,270,0
31,query_cycle_6_128.graph,u2,5454872.0,UN,5612439.3832679745,0.028885624313086444,306,0
31,query_cycle_6_128.graph,u2,5454872.0,PO,5432467.008997142,0.004107335791354533,306,0
31,query_cycle_6_128.graph,u2,5454872.0,MAB,5080198.805883344,0.0686859735877681,171,0
31,query_cycle_6_128.graph,u2,5454872.0,FOIS_nrs,5648897.512064432,0.035569214468173,306,0
31,query_cycle_6_128.graph,u2,5454872.0,FOIS_rs,5082280.507105675,0.06830435121013388,306,0
31,query_cycle_6_128.graph,u2,5454872.0,POSS,4876417.756962228,0.10604359608030627,394,0
32,query_cycle_6_129.graph,u1,2286698.0,UN,1346846.6786055777,0.41100806551386426,251,0
32,query_cycle_6_129.graph,u1,2286698.0,PO,2179573.713580129,0.046846713654304505,251,0
32,query_cycle_6_129.graph,u1,2286698.0,MAB,1898170.3792858613,0.16990771003173077,153,0
32,query_cycle_6_129.graph,u1,2286698.0,FOIS_nrs,2473851.743052274,0.08184453874200878,251,0
32,query_cycle_6_129.graph,u1,2286698.0,FOIS_rs,2082561.6327654382,0.08927124055496695,251,0
32,query_cycle_6_129.graph,u1,2286698.0,POSS,2440274.8319114903,0.06716095956330495,463,0
33,query_cycle_6_130.graph,u2,42698.0,UN,46311.68928715597,0.08463368980176984,218,0
33,query_cycle_6_130.graph,u2,42698.0,PO,57040.15907511935,0.3358976784654867,218,0
33,query_cycle_6_130.graph,u2,42698.0,MAB,34528.38271880305,0.1913348934656647,130,0
33,query_cycle_6_130.graph,u2,42698.0,FOIS_nrs,39741.04231777978,0.06925283812403911,218,0
33,query_cycle_6_130.graph,u2,42698.0,FOIS_rs,41713.94729074057,0.023046810371900966,218,0
33,query_cycle_6_130.graph,u2,42698.0,POSS,44529.682204797165,0.042898548053706624,422,0
229,query_cycle_6_126.graph,u1,626370.0,baseline_uniform,656242.3393246753,0.047691203800749184,154,0
229,query_cycle_6_126.graph,u1,626370.0,baseline_proxy,717695.7779879393,0.14580164756923114,154,0
229,query_cycle_6_126.graph,u1,626370.0,baseline_proxy_a,700585.3713960764,0.11848487538687422,154,0
229,query_cycle_6_126.graph,u1,626370.0,baseline_proxy_a_unbiased_test1,633232.8882342939,0.010956604298248485,154,0
229,query_cycle_6_126.graph,u1,626370.0,proxy_mab,660024.1693550004,0.05372889722528277,92,0
229,query_cycle_6_126.graph,u1,626370.0,proxyE_importance,520531.5291071044,0.16897116862700257,153,0
34,query_cycle_6_132.graph,u2,67470.0,UN,38667.53738095237,0.42689288008074144,252,0
34,query_cycle_6_132.graph,u2,67470.0,PO,91172.69210678492,0.35130713067711455,252,0
34,query_cycle_6_132.graph,u2,67470.0,MAB,4754.586233843756,0.9295303655870201,164,0
34,query_cycle_6_132.graph,u2,67470.0,FOIS_nrs,74644.7683792835,0.10634012715701055,252,0
34,query_cycle_6_132.graph,u2,67470.0,FOIS_rs,68797.76302169045,0.019679309644144816,252,0
34,query_cycle_6_132.graph,u2,67470.0,POSS,72363.72615720786,0.07253188316596794,429,0
35,query_cycle_6_133.graph,u1,2573014.0,UN,3547826.708595041,0.37886024273285773,242,0
35,query_cycle_6_133.graph,u1,2573014.0,PO,2602109.511202908,0.011307949044547802,242,0
35,query_cycle_6_133.graph,u1,2573014.0,MAB,2778850.764468196,0.07999830722576552,149,0
35,query_cycle_6_133.graph,u1,2573014.0,FOIS_nrs,2596180.023997209,0.00900345820007549,242,0
35,query_cycle_6_133.graph,u1,2573014.0,FOIS_rs,2558940.4634225224,0.0054696696471443935,242,0
35,query_cycle_6_133.graph,u1,2573014.0,POSS,2427517.0509900264,0.05654728229616067,366,0
36,query_cycle_6_135.graph,u1,2399067.0,UN,2450249.3375366568,0.021334267670163762,341,0
36,query_cycle_6_135.graph,u1,2399067.0,PO,2231677.268269007,0.06977284574836505,341,0
36,query_cycle_6_135.graph,u1,2399067.0,MAB,2430612.9669297375,0.013149264664028756,199,0
36,query_cycle_6_135.graph,u1,2399067.0,FOIS_nrs,2553629.3786872635,0.06442603674147636,341,0
36,query_cycle_6_135.graph,u1,2399067.0,FOIS_rs,2494415.4909912716,0.03974398838851585,341,0
36,query_cycle_6_135.graph,u1,2399067.0,POSS,2157412.60652173,0.10072848881597311,542,0
37,query_cycle_6_136.graph,u1,847026.0,UN,1446336.0499999998,0.7075462264440523,307,0
37,query_cycle_6_136.graph,u1,847026.0,PO,1127191.2498393669,0.3307634592555209,307,0
37,query_cycle_6_136.graph,u1,847026.0,MAB,771198.7206316062,0.08952178489018497,176,0
37,query_cycle_6_136.graph,u1,847026.0,FOIS_nrs,789845.1320304065,0.06750780728052444,307,0
37,query_cycle_6_136.graph,u1,847026.0,FOIS_rs,878628.8666752378,0.037310385602375574,307,0
37,query_cycle_6_136.graph,u1,847026.0,POSS,705035.0923968909,0.16763465065193883,522,0
38,query_cycle_6_138.graph,u2,111915.0,UN,57935.50819154931,0.4823257991194272,284,0
38,query_cycle_6_138.graph,u2,111915.0,PO,108598.78827829467,0.02963152143774589,284,0
38,query_cycle_6_138.graph,u2,111915.0,MAB,116234.58778950958,0.03859704051744249,165,0
38,query_cycle_6_138.graph,u2,111915.0,FOIS_nrs,116555.08964668238,0.04146083765967364,284,0
38,query_cycle_6_138.graph,u2,111915.0,FOIS_rs,121418.33497511844,0.08491565004796893,284,0
38,query_cycle_6_138.graph,u2,111915.0,POSS,101778.13023647913,0.09057650684466663,462,0
39,query_cycle_6_140.graph,u2,336746.0,UN,323121.8099664805,0.040458357437117363,358,0
39,query_cycle_6_140.graph,u2,336746.0,PO,294042.95255733485,0.12681085281685647,358,0
39,query_cycle_6_140.graph,u2,336746.0,MAB,367690.8441048408,0.09189372436447894,202,0
39,query_cycle_6_140.graph,u2,336746.0,FOIS_nrs,514661.2495083717,0.528336638025015,358,0
39,query_cycle_6_140.graph,u2,336746.0,FOIS_rs,318516.7605014949,0.054133499725327335,358,0
39,query_cycle_6_140.graph,u2,336746.0,POSS,330898.28382586443,0.01736536194679541,573,0
